№,lambda,mu,m,n,Theta,Tau
1,1.0E-7,1,1,65527,6.892146081629684E21,1.0065958191003044
2,1.0E-7,1,1,65528,4.516216562909481E19,1.0065959204238186
3,1.0E-7,1,1,65529,2.959386389343335E17,1.0065960217473533
4,1.0E-7,1,1,65530,1.9392563070737022E15,1.0065961230709082
5,1.0E-7,1,1,65531,1.2707946581009967E13,1.0065962243944837
6,1.0E-7,1,1,65532,8.327644534440523E10,1.0065963257180794
7,1.0E-7,1,1,65533,5.45727654415584E8,1.0065964270416958
8,1.0E-7,1,1,65534,3576618.222776406,1.0065965283653324
9,1.0E-7,1,1,65535,23588.600080109867,1.0065966296889894
10,1.0E-7,1,1,65536,152.587890625,1.006596731012667
11,1.0E-7,1,2,65527,1.764351382948911E24,0.5016435346300616
12,1.0E-7,1,2,65528,5.780632653524663E21,0.5016435597946852
13,1.0E-7,1,2,65529,1.8939664826008207E19,0.5016435849593113
14,1.0E-7,1,2,65530,6.20548648191755E16,0.50164361012394
15,1.0E-7,1,2,65531,2.03322764580788E14,0.5016436352885711
16,1.0E-7,1,2,65532,6.661972048945698E11,0.5016436604532047
17,1.0E-7,1,2,65533,2.182862216842175E9,0.501643685617841
18,1.0E-7,1,2,65534,7152778.667910673,0.5016437107824797
19,1.0E-7,1,2,65535,23588.600080109867,0.501643735947121
20,1.0E-7,1,2,65536,152.587890625,1.0032875222235293
21,1.0E-7,1,3,65527,3.014559675080001E25,0.33406299369979714
22,1.0E-7,1,3,65528,6.584501727632241E22,0.3340630048596056
23,1.0E-7,1,3,65529,1.438230764027618E20,0.3340630160194147
24,1.0E-7,1,3,65530,3.141527457865534E17,0.33406302717922454
25,1.0E-7,1,3,65531,6.862143143805225E14,0.3340630383390351
26,1.0E-7,1,3,65532,1.4989436751307222E12,0.3340630494988465
27,1.0E-7,1,3,65533,3.2742930200735116E9,0.33406306065865865
28,1.0E-7,1,3,65534,7152778.667910673,0.33406307181847145
29,1.0E-7,1,3,65535,23588.600080109867,0.5010946244674276
30,1.0E-7,1,3,65536,152.587890625,1.0032839236214472
31,1.0E-7,10,1,65527,6.851467895570857E30,0.10006556896406328
32,1.0E-7,10,1,65528,4.4895613679307157E27,0.10006556996537509
33,1.0E-7,10,1,65529,2.941919773177639E24,0.10006557096668692
34,1.0E-7,10,1,65530,1.927810608165575E21,0.10006557196799877
35,1.0E-7,10,1,65531,1.2632942915309025E18,0.10006557296931062
36,1.0E-7,10,1,65532,8.278493821837254E14,0.1000655739706225
37,1.0E-7,10,1,65533,5.425062575899234E11,0.10006557497193443
38,1.0E-7,10,1,65534,3.555209305714992E8,0.10006557597324636
39,1.0E-7,10,1,65535,233139.37685969332,0.10006557697455831
40,1.0E-7,10,1,65536,152.587890625,0.10006557797587028
