№,lambda,mu,m,n,Theta,Tau
1,1.0E-7,1,1,65527,6.892146081629684E21,1.0065958191003044
2,1.0E-7,1,1,65527,6.892146081629684E21,1.0065958191003044
3,1.0E-7,1,1,65527,6.892146081629684E21,1.0065958191003044
4,1.0E-7,1,1,65527,6.892146081629684E21,1.0065958191003044
5,1.0E-7,1,1,65527,6.892146081629684E21,1.0065958191003044
6,1.0E-7,1,1,65527,6.892146081629684E21,1.0065958191003044
7,1.0E-7,1,1,65527,6.892146081629684E21,1.0065958191003044
8,1.0E-7,1,1,65527,6.892146081629684E21,1.0065958191003044
9,1.0E-7,1,1,65527,6.892146081629684E21,1.0065958191003044
10,1.0E-7,1,1,65527,6.892146081629684E21,1.0065958191003044
